,Closest_neigh,Index_o_CN
1086,2.5,801
1087,3.4,1081
1088,3.6,1097
1089,3.2,1081
1090,3.3,1091
1091,2.9,1231
1092,3.3,1093
1093,3.1,1091
1094,2.8,1095
1095,2.8,1094
1096,2.0,1097
1097,2.0,1096
1098,2.3,1097
1099,3.4,1081
1100,2.2,1101
1101,2.2,1100
1102,2.1,1103
1103,2.1,1102
1104,2.8,1111
1105,3.6,1106
1106,2.8,1107
1107,2.8,1106
1108,3.2,1107
1109,3.6,927
1110,3.4,1192
1111,2.8,1104
1112,3.1,801
1113,3.3,1051
1114,2.6,1115
1115,2.6,1114
1116,3.4,1115
1117,2.4,1118
1118,2.4,1117
1119,2.5,820
1120,2.9,1141
1121,2.8,801
1122,3.1,187
1123,2.3,1036
1124,3.4,1036
1125,2.9,801
1126,3.6,720
1127,3.5,909
1128,2.7,1132
1129,3.5,1130
1130,3.2,1132
1131,3.3,1132
1132,2.7,1128
1133,3.2,1135
1134,2.9,1142
1135,3.2,1133
1136,2.4,1137
1137,1.5,1138
1138,1.5,1137
1139,1.6,1137
1140,3.0,1137
1141,2.9,1120
1142,2.9,1134
1143,3.8,1142
1144,3.2,1134
1145,2.8,1146
1146,2.8,1145
1147,3.5,1184
1148,3.2,976
1149,3.2,1150
1150,1.9,1154
1151,-0.3,1152
1152,-2.1,1153
1153,-2.1,1152
1154,-1.2,1153
1155,-0.7,1153
1156,-0.3,1154
1157,3.0,1156
1158,1.9,1156
1159,2.2,1156
1160,3.5,1161
1161,3.2,1166
1162,-0.9,1163
1163,-0.9,1162
1164,0.8,1162
1165,2.3,1164
1166,2.7,1164
1167,2.3,1164
1168,1.7,720
1169,3.0,927
1170,3.1,1164
1171,2.9,1167
1172,2.3,720
1173,3.1,1174
1174,3.1,1173
1175,3.2,1174
1176,2.8,801
1177,2.9,720
1178,2.8,1137
1179,2.9,1178
1180,2.7,1164
1181,3.5,1186
1182,3.1,1156
1183,3.0,1164
1184,3.2,1174
1185,3.4,1137
1186,3.4,1188
1187,2.5,1188
1188,2.5,1187
1189,2.7,964
1190,2.8,1191
1191,2.1,801
1192,1.4,1193
1193,1.4,1192
1194,3.3,1195
1195,2.1,1196
1196,-0.6,1197
1197,-0.6,1196
1198,0.4,1196
1199,1.9,1193
1200,2.3,1201
1201,2.3,1200
1202,2.9,489
1203,3.5,1193
1204,3.6,820
1205,2.3,1206
1206,2.2,1255
1207,3.1,1193
1208,3.3,187
1209,3.2,1210
1210,2.6,801
1211,2.9,1212
1212,2.9,1211
1213,3.6,844
1214,1.3,1215
1215,1.3,1214
1216,2.7,1217
1217,2.7,1216
1218,2.9,1215
1219,3.6,1215
1220,3.4,720
